Imagine: imagine1.jpg | Coordonate: [X:18, Y:0, Latime:316, Inaltime:883] | Precizie: 0.93
Imagine: imagine1.jpg | Coordonate: [X:465, Y:33, Latime:280, Inaltime:827] | Precizie: 0.90
Imagine: imagine1.jpg | Coordonate: [X:795, Y:39, Latime:214, Inaltime:827] | Precizie: 0.87
Imagine: imagine1.jpg | Coordonate: [X:652, Y:58, Latime:107, Inaltime:331] | Precizie: 0.44
Imagine: imagine1.jpg | Coordonate: [X:753, Y:114, Latime:56, Inaltime:226] | Precizie: 0.41
Imagine: imagine10.jpg | Coordonate: [X:215, Y:120, Latime:16, Inaltime:41] | Precizie: 0.79
Imagine: imagine10.jpg | Coordonate: [X:66, Y:105, Latime:15, Inaltime:41] | Precizie: 0.79
Imagine: imagine10.jpg | Coordonate: [X:32, Y:67, Latime:16, Inaltime:44] | Precizie: 0.78
Imagine: imagine10.jpg | Coordonate: [X:152, Y:92, Latime:22, Inaltime:42] | Precizie: 0.77
Imagine: imagine10.jpg | Coordonate: [X:216, Y:25, Latime:17, Inaltime:42] | Precizie: 0.77
Imagine: imagine10.jpg | Coordonate: [X:228, Y:86, Latime:15, Inaltime:40] | Precizie: 0.76
Imagine: imagine10.jpg | Coordonate: [X:87, Y:56, Latime:12, Inaltime:39] | Precizie: 0.74
Imagine: imagine10.jpg | Coordonate: [X:130, Y:38, Latime:16, Inaltime:38] | Precizie: 0.73
Imagine: imagine10.jpg | Coordonate: [X:150, Y:37, Latime:13, Inaltime:38] | Precizie: 0.73
Imagine: imagine10.jpg | Coordonate: [X:86, Y:106, Latime:14, Inaltime:41] | Precizie: 0.72
Imagine: imagine10.jpg | Coordonate: [X:204, Y:29, Latime:13, Inaltime:43] | Precizie: 0.69
Imagine: imagine10.jpg | Coordonate: [X:68, Y:54, Latime:13, Inaltime:40] | Precizie: 0.68
Imagine: imagine10.jpg | Coordonate: [X:117, Y:49, Latime:11, Inaltime:26] | Precizie: 0.64
Imagine: imagine10.jpg | Coordonate: [X:182, Y:89, Latime:16, Inaltime:37] | Precizie: 0.63
Imagine: imagine10.jpg | Coordonate: [X:102, Y:47, Latime:9, Inaltime:27] | Precizie: 0.61
Imagine: imagine10.jpg | Coordonate: [X:44, Y:12, Latime:14, Inaltime:39] | Precizie: 0.55
Imagine: imagine10.jpg | Coordonate: [X:253, Y:116, Latime:21, Inaltime:45] | Precizie: 0.52
Imagine: imagine10.jpg | Coordonate: [X:75, Y:146, Latime:17, Inaltime:36] | Precizie: 0.51
Imagine: imagine10.jpg | Coordonate: [X:259, Y:120, Latime:14, Inaltime:41] | Precizie: 0.42
Imagine: imagine10.png | Coordonate: [X:518, Y:101, Latime:233, Inaltime:722] | Precizie: 0.87
Imagine: imagine10.png | Coordonate: [X:714, Y:115, Latime:154, Inaltime:503] | Precizie: 0.83
Imagine: imagine10.png | Coordonate: [X:382, Y:151, Latime:155, Inaltime:668] | Precizie: 0.83
